"y","d","lai","lai.qc"
2000,57,1.1,0
2000,65,1.2,0
2000,73,1.3,16
2000,81,1.2,0
2000,89,1.4,0
2000,97,2,0
2000,105,2,0
2000,113,4.5,32
2000,121,4.4,32
2000,129,5,32
2000,137,4.6,32
2000,145,5.2,32
2000,153,4.7,32
2000,161,4.7,32
2000,169,5,48
2000,177,5.6,32
2000,185,4.7,32
2000,193,5.6,32
2000,201,4.9,40
2000,209,3,0
2000,233,5.2,32
2000,241,0.5,0
2000,249,2.1,0
2000,257,4.2,32
2000,265,1.8,0
2000,273,2.9,0
2000,281,2.6,0
2000,289,1.7,0
2000,297,1.6,0
2000,305,1.1,0
2000,313,1,0
2000,321,0.9,0
2000,329,0.9,0
2000,337,0.9,0
2000,345,0.9,0
2000,353,0.9,0
2000,361,0.7,0
2001,1,0.9,0
2001,9,0.8,0
2001,17,0.9,16
2001,25,0.9,0
2001,33,0.8,0
2001,41,0.7,16
2001,49,0.9,0
2001,57,1,0
2001,65,1,0
2001,73,0.9,0
2001,81,1.2,0
2001,89,1,0
2001,97,1.2,0
2001,105,2.2,0
2001,113,4.4,32
2001,121,4.5,32
2001,129,NA,97
2001,137,4.7,32
2001,145,4.8,32
2001,153,5.6,32
2001,161,5.3,32
2001,185,4.7,32
2001,193,5.8,32
2001,201,6.4,32
2001,209,NA,97
2001,217,4.4,32
2001,225,1.2,0
2001,233,5.2,32
2001,241,2.6,0
2001,249,4.6,32
2001,257,4.2,32
2001,265,4.4,32
2001,273,4.4,32
2001,281,4.3,32
2001,289,2,0
2001,297,1.7,0
2001,305,1.2,0
2001,313,1,0
2001,321,1,0
2001,329,0.9,0
2001,337,0.7,0
2001,345,0.7,0
2001,353,0.8,0
2001,361,0.7,0
2002,1,0.4,0
2002,9,0.8,0
2002,17,0.5,0
2002,25,0.9,0
2002,33,0.7,0
2002,41,0.9,0
2002,49,1,0
2002,57,1,0
2002,65,1,0
2002,73,0.9,0
2002,89,1.1,0
2002,97,1.4,0
2002,105,1.9,0
2002,113,5,32
2002,121,5.2,32
2002,129,5.2,32
2002,137,5.8,32
2002,145,4.9,32
2002,153,5.3,32
2002,161,4.6,32
2002,169,4.3,32
2002,177,4.6,32
2002,185,2.5,0
2002,193,3.6,0
2002,201,4.5,32
2002,209,4.6,32
2002,217,4.8,32
2002,225,4.8,32
2002,233,5.1,32
2002,241,4.2,32
2002,249,5,32
2002,257,4.2,32
2002,265,4.4,32
2002,273,4.1,32
2002,281,3.6,0
2002,289,2.5,0
2002,297,NA,97
2002,305,1.5,0
2002,313,0.7,0
2002,321,0.9,0
2002,329,0.9,0
2002,337,0.7,0
2002,345,0.8,0
2002,353,0.7,0
2002,361,0.8,0
2003,1,0.7,0
2003,9,0.7,0
2003,17,0.7,0
2003,25,0.6,0
2003,33,0.7,0
2003,41,0.7,0
2003,49,0.5,0
2003,57,1,0
2003,65,1,0
2003,73,NA,113
2003,81,1,0
2003,89,1.2,0
2003,97,1.3,0
2003,105,1.8,0
2003,113,2.2,0
2003,121,4.4,32
2003,129,3.9,0
2003,137,NA,97
2003,145,4.6,32
2003,153,5.4,32
2003,161,4.6,32
2003,169,5.2,32
2003,177,4.7,32
2003,185,6.1,32
2003,193,3,0
2003,201,5.4,32
2003,209,1.6,16
2003,217,NA,113
2003,225,NA,97
2003,233,4.9,32
2003,241,4.6,32
2003,249,4.8,32
2003,257,4.4,32
2003,265,4.5,32
2003,273,4.3,32
2003,281,3.4,0
2003,289,2.7,0
2003,297,1.8,0
2003,305,1.3,0
2003,313,0.7,0
2003,321,0.9,0
2003,329,0.9,0
2003,337,0.9,0
2003,345,0.8,0
2003,353,0.9,0
2003,361,0.9,0
2004,1,0.9,0
2004,9,0.7,0
2004,17,0.9,0
2004,25,0.8,0
2004,33,0.7,0
2004,41,0.6,0
2004,49,1,0
2004,57,1,0
2004,65,1,0
2004,73,1,0
2004,81,0.9,0
2004,89,1.2,0
2004,97,1.1,0
2004,105,1.2,0
2004,113,4.9,32
2004,121,4.5,32
2004,129,4.6,32
2004,137,4.3,32
2004,145,4.8,32
2004,153,4.5,32
2004,161,NA,97
2004,169,4.5,32
2004,177,4.7,32
2004,185,5.7,32
2004,193,5.8,32
2004,201,4.8,32
2004,209,NA,97
2004,217,5.1,32
2004,225,4.9,32
2004,233,NA,97
2004,241,1.3,0
2004,249,4.3,32
2004,257,1.5,0
2004,265,4.4,32
2004,273,4.3,32
2004,281,2.5,0
2004,289,2.1,0
2004,297,NA,105
2004,305,1.2,0
2004,313,1.1,0
2004,321,0.9,0
2004,329,0.8,0
2004,337,0.9,0
2004,345,0.8,0
2004,353,0.7,0
2004,361,0.7,0
2005,1,0.7,0
2005,9,0.3,0
2005,17,0.7,0
2005,25,0.7,0
2005,33,0.7,0
2005,41,0.7,0
2005,49,0.7,0
2005,57,0.7,0
2005,65,0.9,0
2005,73,0.8,0
2005,81,1,0
2005,89,1,0
2005,97,1.2,0
2005,105,1.9,0
2005,113,2.4,0
2005,121,4.4,32
2005,129,4.9,32
2005,137,4.7,32
2005,145,2.7,0
2005,153,0.4,0
2005,161,5.1,32
2005,169,4.9,32
2005,177,4.6,32
2005,185,4.9,32
2005,193,1.7,8
2005,201,5,32
2005,209,4.6,32
2005,217,5.9,32
2005,225,5.8,32
2005,233,5,32
2005,241,5.1,32
2005,249,2.7,0
2005,257,2.8,0
2005,265,4.1,32
2005,273,2.1,0
2005,281,2.3,0
2005,289,2.5,0
2005,297,2.1,0
2005,305,1.4,0
2005,313,1.2,0
2005,321,1.1,0
2005,329,1,0
2005,337,0.6,0
2005,345,0.9,0
2005,353,0.9,0
2005,361,0.7,0
2006,1,0.8,0
2006,9,0.7,0
2006,17,0.7,0
2006,25,0.7,0
2006,33,0.8,0
2006,41,0.8,0
2006,49,1,0
2006,57,0.9,0
2006,65,1,0
2006,73,1,0
2006,81,1,0
2006,89,1.1,0
2006,97,1.3,0
2006,105,1.9,0
2006,113,2.6,0
2006,121,4.4,32
