zone	site	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	postX	postY	localX	localY	x	y	UTMx	UTMy	elev	diam2000	diam2002	diam2003	diam2004	diam2006	diam2009	diam2010	diam2011	fork2006	sex2001	sex2002	sex2004	sex2005	sex2006	sex2007	sex2009	sex2010	sex2011	sex2013	canopy2009	canopy2010	canopy2011	ecd1	ecd2	canarea2013	subplot	damage	damage2009	damage2010	damage2011	DamMatch	coreYr	coreYr2	coreYr3
3	BW	9719.1	6719	liquStyr	1	2000	NA	2000	NA	80	20	7	0.4	87	20.4	672029.4851	3983979.832	168.2496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	NA	NA	NA	NA
3	BW	3797.01	261	cornFlor	1	2000	NA	2000	NA	-60	60	2	3.5	-58	63.5	671879.4899	3983999.429	163.6776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	O	ND	NA	ND	NA	0	NA	NA	NA
2	BW	3262	919	querUNKN	NA	2000	NA	2001	2002	-60	-70	9	0.8	-51	-69.2	671906.9892	3983870.463	173.1264	34.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	71	2002	NA	NA
2	BW	1606	6052	liquStyr	1	2000	NA	2002	2002	-100	-30	6.3	0.5	-93.7	-29.5	671859.1328	3983903.767	166.7256	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	20	2002	NA	NA
2	BW	2561	886	liquStyr	NA	2000	NA	2002	2002	-90	-30	3	7.9	-87	-22.1	671864.7261	3983912.036	166.7256	26.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	61	2002	NA	NA
2	BW	478	625	liquStyr	NA	2000	NA	2002	2002	-130	10	0.8	9	-129.2	19	671817.168	3983946.796	161.544	42.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G	ND	NA	NA	NA	1	2002	NA	NA
1	BW	6572	605	querUNKN	NA	2000	NA	2002	NA	-10	-200	7.2	0	-2.8	-200	671973.096	3983747.737	184.7088	19.7	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7897	857	querAlba	NA	2000	NA	2002	NA	10	-200	2	2	12	-198	671987.4679	3983751.797	185.928	14.5	14.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7928	886	querAlba	NA	2000	NA	2002	NA	20	-200	6.7	7.2	26.7	-192.8	672001.2911	3983759.012	185.928	8.4	8.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6600	567	caryUNKN	NA	2000	NA	2002	NA	0	-190	5.6	7.7	5.6	-182.3	671978.9247	3983766.442	184.404	8.2	8.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6603	739	caryTome	1	2000	NA	2002	NA	0	-190	1.2	3.2	1.2	-186.8	671975.2009	3983761.368	184.7088	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7963	532	caryGlab	NA	2000	NA	2002	NA	10	-190	0.7	5.1	10.7	-184.9	671984.3395	3983764.585	184.7088	20.8	20.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7967	536	querAlba	NA	2000	NA	2002	NA	10	-190	4	2.5	14	-187.5	671987.9722	3983762.474	185.6232	7	7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7977	545	acerRubr	1	2000	NA	2002	NA	20	-190	7.6	8.1	27.6	-181.9	672000.65	3983769.93	185.3184	1.5	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	5219	618	cornFlor	2	2000	NA	2002	NA	-40	-180	4	3.5	-36	-176.5	671936.9224	3983766.337	181.0512	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	5740	947	cornFlor	NA	2000	NA	2002	NA	-30	-180	3.7	8.5	-26.3	-171.5	671945.8233	3983772.651	181.6608	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6625	586	cornFlor	NA	2000	NA	2002	NA	-10	-180	3	2	-7	-178	671965.8454	3983768.928	183.7944	1.8	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6633	593	cornFlor	NA	2000	NA	2002	NA	-10	-180	1.6	9.7	-8.4	-170.3	671963.3769	3983776.355	182.5752	5.2	5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6636	596	cornFlor	1	2000	NA	2002	NA	-10	-180	5.4	7.1	-4.6	-172.9	671967.5047	3983774.315	183.1848	5.2	5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6640	598	cornFlor	NA	2000	NA	2002	NA	-10	-180	7.1	5.5	-2.9	-174.5	671969.4127	3983772.97	183.4896	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6589	557	cornFlor	NA	2000	NA	2002	NA	0	-180	8	1.2	8	-178.8	671980.8089	3983770.245	184.404	1.1	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6590	558	cornFlor	1	2000	NA	2002	NA	0	-180	6.5	1.6	6.5	-178.4	671979.2676	3983770.43	183.7944	4.2	4.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6591	558	cornFlor	2	2000	NA	2002	NA	0	-180	6.5	1.6	6.5	-178.4	671979.2676	3983770.43	183.7944	1	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7952	523	acerRubr	NA	2000	NA	2002	NA	10	-180	7	2.5	17	-177.5	671989.5368	3983772.797	185.0136	8.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7936	507	acerRubr	NA	2000	NA	2002	NA	20	-180	8.2	1	28.2	-179	672000.8365	3983772.886	185.3184	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	5790	739	acerRubr	NA	2000	NA	2002	NA	-20	-170	0.6	2.3	-19.4	-167.7	671952.1207	3983777.383	181.6608	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6745	879	cornFlor	NA	2000	NA	2002	NA	-10	-170	3.5	5	-6.5	-165	671964.5131	3983781.869	182.2704	3.2	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6762	892	cornFlor	NA	2000	NA	2002	NA	0	-170	1.8	8.5	1.8	-161.5	671972.2387	3983786.501	182.88	6.2	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	8015	921	cornFlor	NA	2000	NA	2002	NA	10	-170	0.2	4.5	10.2	-165.5	671981.1176	3983783.722	183.7944	1.2	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	8021	926	oxydArbo	1	2000	NA	2002	NA	10	-170	6	2	16	-168	671987.2114	3983782.062	184.404	5.2	5.1	NA	4.7	5.9	6.8	NA	NA	NA	NA	un	un	NA	NA	NA	un	NA	NA	NA	1	NA	NA	NA	NA	NA	O	ND	ND	NA	NA	0	NA	NA	NA
1	BW	5243	640	juniVirg	NA	2000	NA	2002	NA	-40	-160	9.5	6	-30.5	-154	671939.2052	3983789.387	180.1368	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	5275	673	pinuTaed	NA	2000	NA	2002	NA	-40	-160	1	7.9	-39	-152.1	671930.5225	3983790.073	179.5272	27.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	5759	709	querRubr	NA	2000	NA	2002	NA	-20	-160	4.1	3.5	-15.9	-156.5	671954.0117	3983788.964	180.7464	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6736	807	cornFlor	NA	2000	NA	2002	NA	-10	-160	4	2.5	-6	-157.5	671963.9539	3983789.365	181.6608	3.7	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6661	807	cornFlor	NA	2000	NA	2002	NA	0	-160	6.5	4.8	6.5	-155.2	671976.0065	3983793.399	182.2704	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	7995	905	cornFlor	NA	2000	NA	2002	NA	10	-160	7.7	7.5	17.7	-152.5	671986.7158	3983797.647	183.1848	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
1	BW	6698	836	cercCana	4	2000	NA	2002	NA	0	-150	3.1	5.2	3.1	-144.8	671971.1785	3983803.218	181.0512	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	O	ND	NA	NA	NA	0	NA	NA	NA
