"y","d","h","acru774","acru736","pita165","pita152","litu658","litu656","acru904","acru915","pita3969","pita2493","qual747","qual765"
2010,180,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,180,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,10,2.9032,1.3374,0.78635,6.7581,8.1716,9.7376,2.0472,3.5331,4.6339,6.279,3.4967,1.1503
2010,181,11,13.898,10.705,2.151,9.8869,12.979,8.3094,5.3742,14.241,6.794,9.5559,4.3443,3.0814
2010,181,12,19.93,15.531,2.7174,10.205,12.648,10.016,6.4859,18.46,7.2168,10.531,3.9906,3.8693
2010,181,13,22.842,17.129,2.9448,10.047,12.91,10.623,8.7372,23.492,7.497,11.094,4.7121,4.7222
2010,181,14,23.914,18.274,3.8034,10.397,13.196,10.919,10.098,28.462,7.8282,11.948,4.6221,5.4903
2010,181,15,29.837,22.631,4.9993,12.028,15.375,13.159,13.693,35.401,9.6562,14.703,5.708,7.1342
2010,181,16,28.331,21.84,5.2838,11.144,15.01,13.176,13.192,35.238,9.8589,14.592,5.2286,7.2718
2010,181,17,30.276,23.173,6.7508,12.383,16.078,13.807,14.114,35.685,11.264,16.589,5.4236,7.6257
2010,181,18,24.565,17.537,5.5083,10.681,14.478,12.281,11.637,31.499,9.9732,14.756,4.346,7.2772
2010,181,19,16.602,10.123,5.0247,9.5849,11.652,9.9922,8.2083,19.849,8.8037,13.117,3.3645,5.7336
2010,181,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,20,3.6986,1.5995,1.6899,3.9345,2.773,2.8942,2.0336,4.4742,3.6585,4.8187,0.70827,1.6206
2010,181,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,181,5,0.20706,NA,0.0076676,NA,0.42889,0.085446,0.078124,0.090801,0.076031,0.12594,0.13577,0.074136
2010,181,6,0.50049,NA,NA,NA,1.1797,0.39813,0.30448,0.14348,0.12014,0.14685,0.095263,0.13086
2010,181,7,0.69391,NA,NA,NA,0.95158,0.53928,0.89393,0.028087,0.31293,0.53376,0.16959,0.25491
2010,181,8,0.44874,NA,NA,NA,NA,0.11465,0.77859,0.099655,0.38367,0.65442,0.54531,0.16839
2010,181,9,0.071541,NA,0.0080592,2.2092,6.3153,3.1165,0.97403,0.24605,1.8619,2.4614,1.8956,0.59279
2010,182,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,10,40.665,34.146,5.6934,15.807,21.374,16.991,15.201,45.228,12.179,14.216,9.2614,7.7667
2010,182,11,53.897,42.651,10.593,22.377,25.808,22.295,19.022,51.523,16.89,21.614,5.5513,8.9619
2010,182,12,64.085,50.541,14.325,25.705,28.488,28.04,22.591,54.17,21.07,27.497,5.8478,10.615
2010,182,13,71.8,54.614,15.882,26.971,26.38,31.033,27.043,58.583,22.841,31.43,5.7871,12.826
2010,182,14,61.775,48.913,15.184,25.363,22.809,27.681,25.362,54.185,21.922,30.67,10.169,12.408
2010,182,15,60.229,47.481,15.025,24.775,23.987,28.832,25.711,50.899,20.462,29.266,9.8062,13.565
2010,182,16,50.871,39.925,13.808,23.363,22.459,26.343,23.54,47.565,17.921,26.518,9.2484,13.324
2010,182,17,34.853,28.377,10.992,21.226,20.474,23.994,20.006,43.498,15.448,22.317,8.4971,12.162
2010,182,18,23.881,19.847,8.3514,17.126,17.093,18.733,14.44,26.833,13.081,17.978,6.2721,10.355
2010,182,19,12.587,9.5255,4.54,11.537,12.125,11.795,7.7673,13.466,7.9429,11.937,3.8544,6.1971
2010,182,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,20,3.2586,2.3795,1.1258,4.5158,4.1382,3.5275,2.0467,4.1614,2.9839,4.7027,0.82662,1.7679
2010,182,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,182,5,0.067688,0.0645,NA,NA,0.14832,0.56967,0.23922,0.095812,0.080226,0.13684,0.064818,0.018633
2010,182,6,NA,0.061959,NA,NA,0.58316,0.84908,0.23192,0.10522,0.088104,0.15028,0.11821,0.0042219
2010,182,7,NA,0.071245,NA,NA,NA,1.137,0.47893,0.55665,0.4661,0.79502,0.79723,0.18047
2010,182,8,1.6319,0.74848,NA,1.5122,2.9159,1.8252,1.392,4.4642,0.2,2.5449,2.9109,0.87852
2010,182,9,24.509,18.626,1.6277,9.1301,14.99,9.7902,8.8939,30.627,5.822,6.0033,6.4649,4.9769
2010,183,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,183,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,183,10,90.256,74.343,11.31,21.896,27.045,27.145,28.541,62.026,15.39,21.996,9.7645,13.304
2010,183,11,93.966,80.366,14.433,24.838,28.185,34.647,33.017,65.88,18.35,28.253,4.5781,16.887
2010,183,12,89.107,72.797,15.186,25.373,27.179,36.37,34.607,66.331,20.362,29.427,4.9607,18.638
