"y","d","h","sap.mm.day"
2007,1,1,NA
2007,1,2,NA
2007,1,3,NA
2007,1,4,NA
2007,1,5,NA
2007,1,6,NA
2007,1,7,NA
2007,1,8,NA
2007,1,9,NA
2007,1,10,NA
2007,1,11,NA
2007,1,12,NA
2007,1,13,NA
2007,1,14,NA
2007,1,15,NA
2007,1,16,NA
2007,1,17,NA
2007,1,18,NA
2007,1,19,NA
2007,1,20,NA
2007,1,21,NA
2007,1,22,NA
2007,1,23,NA
2007,1,24,NA
2007,2,1,NA
2007,2,2,NA
2007,2,3,NA
2007,2,4,NA
2007,2,5,NA
2007,2,6,NA
2007,2,7,NA
2007,2,8,NA
2007,2,9,NA
2007,2,10,NA
2007,2,11,NA
2007,2,12,NA
2007,2,13,NA
2007,2,14,NA
2007,2,15,NA
2007,2,16,NA
2007,2,17,NA
2007,2,18,NA
2007,2,19,NA
2007,2,20,NA
2007,2,21,NA
2007,2,22,NA
2007,2,23,NA
2007,2,24,NA
2007,3,1,NA
2007,3,2,NA
2007,3,3,NA
2007,3,4,NA
2007,3,5,NA
2007,3,6,NA
2007,3,7,NA
2007,3,8,NA
2007,3,9,NA
2007,3,10,NA
2007,3,11,NA
2007,3,12,NA
2007,3,13,NA
2007,3,14,NA
2007,3,15,NA
2007,3,16,NA
2007,3,17,NA
2007,3,18,NA
2007,3,19,NA
2007,3,20,NA
2007,3,21,NA
2007,3,22,NA
2007,3,23,NA
2007,3,24,NA
2007,4,1,NA
2007,4,2,NA
2007,4,3,NA
2007,4,4,NA
2007,4,5,NA
2007,4,6,NA
2007,4,7,NA
2007,4,8,NA
2007,4,9,NA
2007,4,10,NA
2007,4,11,NA
2007,4,12,NA
2007,4,13,NA
2007,4,14,NA
2007,4,15,NA
2007,4,16,NA
2007,4,17,NA
2007,4,18,NA
2007,4,19,NA
2007,4,20,NA
2007,4,21,NA
2007,4,22,NA
2007,4,23,NA
2007,4,24,NA
2007,5,1,NA
2007,5,2,NA
2007,5,3,NA
2007,5,4,NA
2007,5,5,NA
2007,5,6,NA
2007,5,7,NA
2007,5,8,NA
2007,5,9,NA
2007,5,10,NA
2007,5,11,NA
2007,5,12,NA
2007,5,13,NA
2007,5,14,NA
2007,5,15,NA
2007,5,16,NA
2007,5,17,NA
2007,5,18,NA
2007,5,19,NA
2007,5,20,NA
2007,5,21,NA
2007,5,22,NA
2007,5,23,NA
2007,5,24,NA
2007,6,1,NA
2007,6,2,NA
2007,6,3,NA
2007,6,4,NA
2007,6,5,NA
2007,6,6,NA
2007,6,7,NA
2007,6,8,NA
2007,6,9,NA
2007,6,10,NA
2007,6,11,NA
2007,6,12,NA
2007,6,13,NA
2007,6,14,NA
2007,6,15,NA
2007,6,16,NA
2007,6,17,NA
2007,6,18,NA
2007,6,19,NA
2007,6,20,NA
2007,6,21,NA
2007,6,22,NA
2007,6,23,NA
2007,6,24,NA
2007,7,1,NA
2007,7,2,NA
2007,7,3,NA
2007,7,4,NA
2007,7,5,NA
2007,7,6,NA
2007,7,7,NA
2007,7,8,NA
2007,7,9,NA
2007,7,10,NA
2007,7,11,NA
2007,7,12,NA
2007,7,13,NA
2007,7,14,NA
2007,7,15,NA
2007,7,16,NA
2007,7,17,NA
2007,7,18,NA
2007,7,19,NA
2007,7,20,NA
2007,7,21,NA
2007,7,22,NA
2007,7,23,NA
2007,7,24,NA
2007,8,1,NA
